Sample_Index,Actual_RUL,Predicted_RUL,Condition_Label
0,18,13.807527,CRITICAL
1,79,99.72321,NORMAL
2,106,107.54776,NORMAL
3,110,76.99913,NORMAL
4,15,11.743012,CRITICAL
5,125,116.25134,NORMAL
6,6,6.741387,CRITICAL
7,90,63.807514,NORMAL
8,11,26.107342,WARNING
9,79,83.0881,NORMAL
10,6,6.741387,CRITICAL
11,73,121.89721,NORMAL
12,30,35.22386,WARNING
13,11,6.959944,CRITICAL
14,37,50.608467,NORMAL
15,67,105.76064,NORMAL
16,68,44.953217,WARNING
17,99,122.335236,NORMAL
18,22,26.072525,WARNING
19,54,70.834076,NORMAL
20,97,77.93216,NORMAL
21,10,7.8395185,CRITICAL
22,125,72.618614,NORMAL
23,77,61.728733,NORMAL
24,88,84.05349,NORMAL
25,125,101.80127,NORMAL
26,125,114.27931,NORMAL
27,125,107.13775,NORMAL
28,83,105.480225,NORMAL
29,78,59.98365,NORMAL
30,75,103.14956,NORMAL
31,11,8.265095,CRITICAL
32,53,60.957596,NORMAL
33,125,123.415375,NORMAL
34,63,62.62662,NORMAL
35,100,100.136,NORMAL
36,125,90.95538,NORMAL
37,55,58.08196,NORMAL
38,48,51.681816,NORMAL
39,37,40.592087,WARNING
40,44,39.816612,WARNING
41,27,32.790913,WARNING
42,18,40.071335,WARNING
43,6,7.088695,CRITICAL
44,15,24.290638,WARNING
45,112,124.90112,NORMAL
46,125,108.66148,NORMAL
47,13,8.957784,CRITICAL
48,122,92.18264,NORMAL
49,13,7.2153854,CRITICAL
50,98,118.444756,NORMAL
51,53,47.473465,WARNING
52,52,63.979965,NORMAL
53,106,100.15899,NORMAL
54,103,113.4875,NORMAL
55,125,124.653435,NORMAL
56,123,113.79834,NORMAL
57,26,9.995607,CRITICAL
58,125,124.15652,NORMAL
59,73,93.400795,NORMAL
60,125,101.67397,NORMAL
61,39,47.455376,WARNING
62,39,33.271584,WARNING
63,14,13.610072,CRITICAL
64,11,6.651392,CRITICAL
65,121,122.05239,NORMAL
66,86,98.41894,NORMAL
67,56,50.34024,NORMAL
68,115,112.78864,NORMAL
69,17,11.774375,CRITICAL
70,125,115.25928,NORMAL
71,104,88.445015,NORMAL
72,78,74.99622,NORMAL
73,86,119.50106,NORMAL
74,98,112.38802,NORMAL
75,36,48.715553,WARNING
76,94,102.632454,NORMAL
77,52,82.48402,NORMAL
78,91,120.42282,NORMAL
79,15,6.741387,CRITICAL
80,125,116.572426,NORMAL
81,74,80.04634,NORMAL
82,125,119.72623,NORMAL
83,17,15.889983,CRITICAL
84,47,62.128136,NORMAL
85,125,80.50966,NORMAL
86,21,20.920166,WARNING
87,79,76.89264,NORMAL
88,97,85.316956,NORMAL
89,8,7.0496497,CRITICAL
90,9,6.508959,CRITICAL
91,73,77.52561,NORMAL
92,125,124.03611,NORMAL
93,97,83.690414,NORMAL
94,73,74.406975,NORMAL
95,49,40.379433,WARNING
